N_Rock,T,C,M_SE,R,T_deploy,T_remain,M_direct
1399,185.8940875,2.328715648e+11,99825125,537000,0.3648930621,185.8940875,174875
1403,185.8931564,2.33471451e+11,99824625,537000,0.3659363589,185.8931564,175375
1407,185.8922253,2.340713372e+11,99824125,537000,0.3669796557,185.8922253,175875
1411,185.8912942,2.346712234e+11,99823625,537000,0.3680229525,185.8912942,176375
1415,185.8903631,2.352711095e+11,99823125,537000,0.3690662493,185.8903631,176875
1419,185.889432,2.358709957e+11,99822625,537000,0.3701095462,185.889432,177375
1423,185.8885009,2.364708819e+11,99822125,537000,0.371152843,185.8885009,177875
1427,185.8875698,2.370707681e+11,99821625,537000,0.3721961398,185.8875698,178375
1431,185.8866387,2.376706543e+11,99821125,537000,0.3732394366,185.8866387,178875
1435,185.8857076,2.382705405e+11,99820625,537000,0.3742827334,185.8857076,179375
1439,185.8847765,2.388704267e+11,99820125,537000,0.3753260303,185.8847765,179875
1443,185.8838454,2.394703129e+11,99819625,537000,0.3763693271,185.8838454,180375
